time,workload,stores
2025-11-04 16:14:30,0,1
2025-11-04 16:15:00,0,1
2025-11-04 16:15:30,0,1
2025-11-04 16:16:00,0,1
2025-11-04 16:16:30,0,1
2025-11-04 16:17:00,0,1
2025-11-04 16:17:30,0,1
2025-11-04 16:18:00,0,1
2025-11-04 16:18:30,0,1
2025-11-04 16:19:00,0,1
2025-11-04 16:19:30,0,1
2025-11-04 16:20:00,0,1
2025-11-04 16:20:30,0,1
2025-11-04 16:21:00,0,1
2025-11-04 16:21:30,0,1
2025-11-04 16:22:00,0,1
2025-11-04 16:22:30,0,1
2025-11-04 16:23:00,0,1
2025-11-04 16:23:30,0,1
2025-11-04 16:24:00,0,1
2025-11-04 16:24:30,0,1
2025-11-04 16:25:00,0,1
2025-11-04 16:25:30,0,1
2025-11-04 16:26:00,1,1
2025-11-04 16:26:30,1,1
2025-11-04 16:27:00,2,1
2025-11-04 16:27:30,2,1
2025-11-04 16:28:00,4,1
2025-11-04 16:28:30,4,1
2025-11-04 16:29:00,4,1
2025-11-04 16:29:30,4,1
2025-11-04 16:30:00,4,1
2025-11-04 16:30:30,4,1
2025-11-04 16:31:00,4,1
2025-11-04 16:31:30,4,1
2025-11-04 16:32:00,5,1
2025-11-04 16:32:30,6,1
2025-11-04 16:33:00,6,1
2025-11-04 16:33:30,7,2
2025-11-04 16:34:00,8,2
2025-11-04 16:34:30,8,2
2025-11-04 16:35:00,9,2
2025-11-04 16:35:30,9,2
2025-11-04 16:36:00,9,2
2025-11-04 16:36:30,9,2
2025-11-04 16:37:00,7,2
2025-11-04 16:37:30,7,2
2025-11-04 16:38:00,7,2
2025-11-04 16:38:30,7,2
2025-11-04 16:39:00,8,2
2025-11-04 16:39:30,8,2
2025-11-04 16:40:00,6,2
2025-11-04 16:40:30,6,2
2025-11-04 16:41:00,5,2
2025-11-04 16:41:30,5,2
2025-11-04 16:42:00,7,2
2025-11-04 16:42:30,8,2
2025-11-04 16:43:00,8,2
2025-11-04 16:43:30,8,2
2025-11-04 16:44:00,9,2
2025-11-04 16:44:30,9,2
2025-11-04 16:45:00,9,2
2025-11-04 16:45:30,9,2
2025-11-04 16:46:00,9,2
2025-11-04 16:46:30,8,2
2025-11-04 16:47:00,8,2
2025-11-04 16:47:30,9,2
2025-11-04 16:48:00,9,2
2025-11-04 16:48:30,9,2
2025-11-04 16:49:00,8,2
2025-11-04 16:49:30,8,2
2025-11-04 16:50:00,8,2
2025-11-04 16:50:30,8,2
2025-11-04 16:51:00,9,2
2025-11-04 16:51:30,8,2
2025-11-04 16:52:00,9,2
2025-11-04 16:52:30,9,2
2025-11-04 16:53:00,9,2
2025-11-04 16:53:30,9,2
2025-11-04 16:54:00,9,2
2025-11-04 16:54:30,8,2
2025-11-04 16:55:00,8,2
2025-11-04 16:55:30,8,2
2025-11-04 16:56:00,9,2
2025-11-04 16:56:30,7,2
2025-11-04 16:57:00,7,2
2025-11-04 16:57:30,6,2
2025-11-04 16:58:00,6,1
2025-11-04 16:58:30,6,1
2025-11-04 16:59:00,5,1
2025-11-04 16:59:30,4,1
2025-11-04 17:00:00,4,1
2025-11-04 17:00:30,4,1
2025-11-04 17:01:00,3,1
2025-11-04 17:01:30,3,1
2025-11-04 17:02:00,2,1
2025-11-04 17:02:30,2,1
2025-11-04 17:03:00,2,1
2025-11-04 17:03:30,2,1
2025-11-04 17:04:00,2,1
2025-11-04 17:04:30,2,1
2025-11-04 17:05:00,2,1
2025-11-04 17:05:30,2,1
2025-11-04 17:06:00,3,1
2025-11-04 17:06:30,3,1
2025-11-04 17:07:00,3,1
2025-11-04 17:07:30,3,1
2025-11-04 17:08:00,3,1
2025-11-04 17:08:30,3,1
2025-11-04 17:09:00,3,1
2025-11-04 17:09:30,3,1
2025-11-04 17:10:00,3,1
2025-11-04 17:10:30,3,1
2025-11-04 17:11:00,3,1
2025-11-04 17:11:30,3,1
2025-11-04 17:12:00,3,1
2025-11-04 17:12:30,3,1
2025-11-04 17:13:00,3,1
2025-11-04 17:13:30,3,1
2025-11-04 17:14:00,3,1
