time,workload,stores
2025-11-03 16:04:30,0,1
2025-11-03 16:05:00,0,1
2025-11-03 16:05:30,0,1
2025-11-03 16:06:00,0,1
2025-11-03 16:06:30,0,1
2025-11-03 16:07:00,0,1
2025-11-03 16:07:30,0,1
2025-11-03 16:08:00,0,1
2025-11-03 16:08:30,0,1
2025-11-03 16:09:00,0,1
2025-11-03 16:09:30,0,1
2025-11-03 16:10:00,0,1
2025-11-03 16:10:30,0,1
2025-11-03 16:11:00,0,1
2025-11-03 16:11:30,0,1
2025-11-03 16:12:00,0,1
2025-11-03 16:12:30,0,1
2025-11-03 16:13:00,0,1
2025-11-03 16:13:30,0,1
2025-11-03 16:14:00,0,1
2025-11-03 16:14:30,0,1
2025-11-03 16:15:00,0,1
2025-11-03 16:15:30,0,1
2025-11-03 16:16:00,0,1
2025-11-03 16:16:30,0,1
2025-11-03 16:17:00,0,1
2025-11-03 16:17:30,0,1
2025-11-03 16:18:00,0,1
2025-11-03 16:18:30,0,1
2025-11-03 16:19:00,0,1
2025-11-03 16:19:30,0,1
2025-11-03 16:20:00,0,1
2025-11-03 16:20:30,0,1
2025-11-03 16:21:00,0,1
2025-11-03 16:21:30,0,1
2025-11-03 16:22:00,1,1
2025-11-03 16:22:30,1,1
2025-11-03 16:23:00,2,1
2025-11-03 16:23:30,3,1
2025-11-03 16:24:00,4,1
2025-11-03 16:24:30,4,1
2025-11-03 16:25:00,4,1
2025-11-03 16:25:30,4,1
2025-11-03 16:26:00,5,1
2025-11-03 16:26:30,4,1
2025-11-03 16:27:00,4,1
2025-11-03 16:27:30,4,1
2025-11-03 16:28:00,5,1
2025-11-03 16:28:30,6,2
2025-11-03 16:29:00,6,2
2025-11-03 16:29:30,7,1
2025-11-03 16:30:00,8,3
2025-11-03 16:30:30,8,3
2025-11-03 16:31:00,9,1
2025-11-03 16:31:30,9,4
2025-11-03 16:32:00,9,5
2025-11-03 16:32:30,9,5
2025-11-03 16:33:00,8,1
2025-11-03 16:33:30,7,2
2025-11-03 16:34:00,7,4
2025-11-03 16:34:30,7,4
2025-11-03 16:35:00,7,1
2025-11-03 16:35:30,7,3
2025-11-03 16:36:00,7,6
2025-11-03 16:36:30,6,5
2025-11-03 16:37:00,6,1
2025-11-03 16:37:30,6,1
2025-11-03 16:38:00,6,2
2025-11-03 16:38:30,7,1
2025-11-03 16:39:00,8,2
2025-11-03 16:39:30,9,2
2025-11-03 16:40:00,9,1
2025-11-03 16:40:30,9,3
2025-11-03 16:41:00,9,4
2025-11-03 16:41:30,9,4
2025-11-03 16:42:00,9,3
2025-11-03 16:42:30,9,5
2025-11-03 16:43:00,8,6
2025-11-03 16:43:30,9,1
2025-11-03 16:44:00,9,3
2025-11-03 16:44:30,9,5
2025-11-03 16:45:00,8,7
2025-11-03 16:45:30,8,4
2025-11-03 16:46:00,8,1
2025-11-03 16:46:30,8,3
2025-11-03 16:47:00,9,5
2025-11-03 16:47:30,9,3
2025-11-03 16:48:00,9,1
2025-11-03 16:48:30,9,3
2025-11-03 16:49:00,9,5
2025-11-03 16:49:30,9,6
2025-11-03 16:50:00,9,5
2025-11-03 16:50:30,8,1
2025-11-03 16:51:00,8,4
2025-11-03 16:51:30,8,6
2025-11-03 16:52:00,9,6
2025-11-03 16:52:30,8,1
2025-11-03 16:53:00,7,1
2025-11-03 16:53:30,6,3
2025-11-03 16:54:00,6,4
2025-11-03 16:54:30,6,1
2025-11-03 16:55:00,5,1
2025-11-03 16:55:30,4,1
2025-11-03 16:56:00,4,1
2025-11-03 16:56:30,4,1
2025-11-03 16:57:00,3,1
2025-11-03 16:57:30,2,1
2025-11-03 16:58:00,2,1
2025-11-03 16:58:30,2,1
