sep=,
"Time","p0.9"
2025-11-04 17:44:55,13.6 ms
2025-11-04 17:45:00,12.6 ms
2025-11-04 17:45:05,13.6 ms
2025-11-04 17:45:10,18.4 ms
2025-11-04 17:45:15,20.7 ms
2025-11-04 17:45:20,13.9 ms
2025-11-04 17:45:25,13.6 ms
2025-11-04 17:45:30,21.5 ms
2025-11-04 17:45:35,32.0 ms
2025-11-04 17:45:40,14.9 ms
2025-11-04 17:45:45,18.4 ms
2025-11-04 17:45:50,13.9 ms
2025-11-04 17:45:55,43.8 ms
2025-11-04 17:46:00,14.7 ms
2025-11-04 17:46:05,24.6 ms
2025-11-04 17:46:10,11.5 ms
2025-11-04 17:46:15,11.8 ms
2025-11-04 17:46:20,14.7 ms
2025-11-04 17:46:25,12.8 ms
2025-11-04 17:46:30,14.9 ms
2025-11-04 17:46:35,12.8 ms
2025-11-04 17:46:40,10.7 ms
2025-11-04 17:46:45,11.8 ms
2025-11-04 17:46:50,12.6 ms
2025-11-04 17:46:55,11.8 ms
2025-11-04 17:47:00,12.6 ms
2025-11-04 17:47:05,13.6 ms
2025-11-04 17:47:10,13.6 ms
2025-11-04 17:47:15,12.8 ms
2025-11-04 17:47:20,13.6 ms
2025-11-04 17:47:25,11.8 ms
2025-11-04 17:47:30,13.6 ms
2025-11-04 17:47:35,13.6 ms
2025-11-04 17:47:40,13.6 ms
2025-11-04 17:47:45,12.8 ms
2025-11-04 17:47:50,12.8 ms
2025-11-04 17:47:55,12.6 ms
2025-11-04 17:48:00,12.6 ms
2025-11-04 17:48:05,21.5 ms
2025-11-04 17:48:10,12.8 ms
2025-11-04 17:48:15,35.4 ms
2025-11-04 17:48:20,13.9 ms
2025-11-04 17:48:25,11.8 ms
2025-11-04 17:48:30,18.4 ms
2025-11-04 17:48:35,41.7 ms
2025-11-04 17:48:40,11.8 ms
2025-11-04 17:48:45,43.8 ms
2025-11-04 17:48:50,11.8 ms
2025-11-04 17:48:55,35.4 ms
2025-11-04 17:49:00,11.8 ms
2025-11-04 17:49:05,19.7 ms
2025-11-04 17:49:10,14.9 ms
2025-11-04 17:49:15,13.9 ms
2025-11-04 17:49:20,13.9 ms
2025-11-04 17:49:25,15.7 ms
2025-11-04 17:49:30,22.5 ms
2025-11-04 17:49:35,13.9 ms
2025-11-04 17:49:40,23.9 ms
2025-11-04 17:49:45,17.6 ms
2025-11-04 17:49:50,32.0 ms
2025-11-04 17:49:55,13.6 ms
2025-11-04 17:50:00,18.6 ms
2025-11-04 17:50:05,13.6 ms
2025-11-04 17:50:10,29.1 ms
2025-11-04 17:50:15,13.6 ms
2025-11-04 17:50:20,13.6 ms
2025-11-04 17:50:25,18.4 ms
2025-11-04 17:50:30,12.8 ms
2025-11-04 17:50:35,11.5 ms
2025-11-04 17:50:40,13.6 ms
2025-11-04 17:50:45,37.2 ms
2025-11-04 17:50:50,13.6 ms
2025-11-04 17:50:55,41.7 ms
2025-11-04 17:51:00,21.5 ms
2025-11-04 17:51:05,21.8 ms
2025-11-04 17:51:10,21.5 ms
