Time,p0.9
11/3/2025 20:38,54.3 ms
11/3/2025 20:38,13.6 ms
11/3/2025 20:38,14.9 ms
11/3/2025 20:38,13.6 ms
11/3/2025 20:38,13.9 ms
11/3/2025 20:38,19.7 ms
11/3/2025 20:38,47.7 ms
11/3/2025 20:39,11.8 ms
11/3/2025 20:39,13.6 ms
11/3/2025 20:39,10.2 ms
11/3/2025 20:39,17.6 ms
11/3/2025 20:39,11.8 ms
11/3/2025 20:39,11.8 ms
11/3/2025 20:39,13.6 ms
11/3/2025 20:39,43.8 ms
11/3/2025 20:39,12.8 ms
11/3/2025 20:39,11.8 ms
11/3/2025 20:39,12.8 ms
11/3/2025 20:39,13.9 ms
11/3/2025 20:40,12.8 ms
11/3/2025 20:40,21.8 ms
11/3/2025 20:40,11.8 ms
11/3/2025 20:40,10.2 ms
11/3/2025 20:40,11.8 ms
11/3/2025 20:40,49.8 ms
11/3/2025 20:40,17.3 ms
11/3/2025 20:40,11.5 ms
11/3/2025 20:40,14.7 ms
11/3/2025 20:40,12.6 ms
11/3/2025 20:40,14.7 ms
11/3/2025 20:40,12.6 ms
11/3/2025 20:41,13.6 ms
11/3/2025 20:41,17.3 ms
11/3/2025 20:41,13.9 ms
11/3/2025 20:41,45.9 ms
11/3/2025 20:41,13.6 ms
11/3/2025 20:41,13.9 ms
11/3/2025 20:41,13.9 ms
11/3/2025 20:41,54.0 ms
11/3/2025 20:41,14.7 ms
11/3/2025 20:41,18.6 ms
11/3/2025 20:41,13.6 ms
11/3/2025 20:41,19.4 ms
11/3/2025 20:42,13.6 ms
11/3/2025 20:42,26.7 ms
11/3/2025 20:42,12.8 ms
11/3/2025 20:42,35.4 ms
11/3/2025 20:42,12.6 ms
11/3/2025 20:42,12.8 ms
11/3/2025 20:42,13.6 ms
11/3/2025 20:42,11.8 ms
11/3/2025 20:42,11.5 ms
11/3/2025 20:42,14.7 ms
11/3/2025 20:42,14.9 ms
11/3/2025 20:42,11.8 ms
11/3/2025 20:43,13.9 ms
11/3/2025 20:43,35.1 ms
11/3/2025 20:43,13.9 ms
11/3/2025 20:43,12.6 ms
11/3/2025 20:43,12.6 ms
11/3/2025 20:43,11.8 ms
11/3/2025 20:43,27.8 ms
11/3/2025 20:43,11.8 ms
11/3/2025 20:43,14.7 ms
11/3/2025 20:43,10.7 ms
11/3/2025 20:43,14.7 ms
11/3/2025 20:43,27.0 ms
11/3/2025 20:44,13.6 ms
11/3/2025 20:44,12.6 ms
11/3/2025 20:44,13.9 ms
11/3/2025 20:44,13.6 ms
11/3/2025 20:44,21.5 ms
11/3/2025 20:44,30.9 ms
11/3/2025 20:44,12.6 ms
11/3/2025 20:44,41.4 ms
11/3/2025 20:44,11.5 ms
11/3/2025 20:44,35.1 ms
11/3/2025 20:44,11.5 ms
11/3/2025 20:44,12.6 ms
11/3/2025 20:45,13.6 ms
11/3/2025 20:45,13.6 ms
11/3/2025 20:45,27.8 ms
11/3/2025 20:45,11.5 ms
11/3/2025 20:45,13.9 ms
11/3/2025 20:45,12.6 ms
11/3/2025 20:45,25.7 ms
11/3/2025 20:45,12.6 ms
11/3/2025 20:45,12.8 ms
11/3/2025 20:45,17.3 ms
11/3/2025 20:45,14.7 ms
11/3/2025 20:45,13.6 ms
11/3/2025 20:46,12.6 ms
11/3/2025 20:46,14.9 ms
11/3/2025 20:46,14.9 ms
11/3/2025 20:46,47.7 ms
11/3/2025 20:46,17.3 ms
11/3/2025 20:46,30.9 ms
11/3/2025 20:46,12.6 ms
11/3/2025 20:46,27.8 ms
11/3/2025 20:46,11.8 ms
11/3/2025 20:46,35.1 ms
11/3/2025 20:46,25.7 ms
11/3/2025 20:46,21.5 ms
11/3/2025 20:47,15.7 ms
11/3/2025 20:47,21.5 ms
11/3/2025 20:47,31.2 ms
11/3/2025 20:47,54.0 ms
11/3/2025 20:47,13.6 ms
11/3/2025 20:47,13.6 ms
11/3/2025 20:47,14.7 ms
11/3/2025 20:47,13.6 ms
11/3/2025 20:47,12.6 ms
11/3/2025 20:47,27.8 ms
11/3/2025 20:47,13.6 ms
11/3/2025 20:47,12.8 ms
11/3/2025 20:48,14.7 ms
11/3/2025 20:48,13.6 ms
11/3/2025 20:48,14.9 ms
11/3/2025 20:48,35.1 ms
11/3/2025 20:48,12.6 ms
11/3/2025 20:48,13.6 ms
11/3/2025 20:48,17.3 ms
11/3/2025 20:48,12.6 ms
11/3/2025 20:48,13.6 ms
11/3/2025 20:48,12.6 ms
11/3/2025 20:48,13.6 ms
11/3/2025 20:48,12.6 ms
11/3/2025 20:49,12.6 ms
11/3/2025 20:49,12.6 ms
11/3/2025 20:49,41.7 ms
11/3/2025 20:49,15.7 ms
11/3/2025 20:49,13.6 ms
11/3/2025 20:49,13.6 ms
11/3/2025 20:49,25.7 ms
11/3/2025 20:49,39.6 ms
11/3/2025 20:49,10.7 ms
11/3/2025 20:49,13.9 ms
11/3/2025 20:49,12.6 ms
11/3/2025 20:49,14.7 ms
11/3/2025 20:50,15.7 ms
11/3/2025 20:50,20.4 ms
11/3/2025 20:50,12.8 ms
11/3/2025 20:50,41.4 ms
11/3/2025 20:50,12.6 ms
11/3/2025 20:50,21.5 ms
11/3/2025 20:50,14.7 ms
11/3/2025 20:50,12.6 ms
11/3/2025 20:50,12.6 ms
11/3/2025 20:50,41.4 ms
11/3/2025 20:50,21.5 ms
11/3/2025 20:50,58.2 ms
11/3/2025 20:51,13.6 ms
11/3/2025 20:51,12.6 ms
11/3/2025 20:51,12.6 ms
11/3/2025 20:51,13.6 ms
11/3/2025 20:51,13.9 ms
11/3/2025 20:51,22.8 ms
11/3/2025 20:51,21.8 ms
11/3/2025 20:51,11.8 ms
11/3/2025 20:51,14.9 ms
11/3/2025 20:51,37.2 ms
11/3/2025 20:51,28.0 ms
11/3/2025 20:51,11.5 ms
11/3/2025 20:52,13.6 ms
11/3/2025 20:52,20.4 ms
11/3/2025 20:52,12.8 ms
11/3/2025 20:52,13.6 ms
11/3/2025 20:52,12.6 ms
11/3/2025 20:52,25.7 ms
11/3/2025 20:52,12.6 ms
11/3/2025 20:52,12.8 ms
11/3/2025 20:52,14.9 ms
11/3/2025 20:52,27.8 ms
11/3/2025 20:52,12.6 ms
11/3/2025 20:52,58.2 ms
11/3/2025 20:53,13.6 ms
11/3/2025 20:53,18.4 ms
11/3/2025 20:53,11.5 ms
11/3/2025 20:53,12.6 ms
11/3/2025 20:53,13.9 ms
11/3/2025 20:53,21.5 ms
11/3/2025 20:53,22.5 ms
11/3/2025 20:53,23.9 ms
11/3/2025 20:53,13.9 ms
11/3/2025 20:53,35.4 ms
11/3/2025 20:53,21.5 ms
11/3/2025 20:53,54.0 ms
11/3/2025 20:54,13.9 ms
11/3/2025 20:54,13.9 ms
11/3/2025 20:54,21.5 ms
11/3/2025 20:54,23.9 ms
11/3/2025 20:54,13.9 ms
11/3/2025 20:54,11.8 ms
11/3/2025 20:54,30.1 ms
11/3/2025 20:54,50.1 ms
11/3/2025 20:54,13.9 ms
11/3/2025 20:54,21.8 ms
11/3/2025 20:54,13.9 ms
11/3/2025 20:54,43.8 ms
11/3/2025 20:55,14.7 ms
11/3/2025 20:55,14.9 ms
11/3/2025 20:55,14.7 ms
11/3/2025 20:55,14.9 ms
11/3/2025 20:55,14.7 ms
11/3/2025 20:55,19.4 ms
11/3/2025 20:55,10.7 ms
11/3/2025 20:55,13.6 ms
11/3/2025 20:55,13.9 ms
11/3/2025 20:55,14.7 ms
11/3/2025 20:55,24.9 ms
11/3/2025 20:55,11.8 ms
11/3/2025 20:56,14.9 ms
11/3/2025 20:56,14.7 ms
11/3/2025 20:56,16.0 ms
11/3/2025 20:56,13.6 ms
11/3/2025 20:56,14.7 ms
11/3/2025 20:56,13.6 ms
11/3/2025 20:56,26.7 ms
11/3/2025 20:56,29.9 ms
11/3/2025 20:56,12.6 ms
11/3/2025 20:56,13.9 ms
11/3/2025 20:56,39.3 ms
11/3/2025 20:56,13.6 ms
11/3/2025 20:57,14.7 ms
11/3/2025 20:57,21.5 ms
11/3/2025 20:57,25.7 ms
11/3/2025 20:57,12.6 ms
11/3/2025 20:57,14.7 ms
11/3/2025 20:57,23.9 ms
11/3/2025 20:57,14.7 ms
11/3/2025 20:57,12.6 ms
11/3/2025 20:57,13.6 ms
11/3/2025 20:57,16.0 ms
11/3/2025 20:57,13.6 ms
11/3/2025 20:57,17.3 ms
11/3/2025 20:58,14.7 ms
11/3/2025 20:58,14.7 ms
11/3/2025 20:58,12.8 ms
11/3/2025 20:58,12.8 ms
11/3/2025 20:58,14.7 ms
11/3/2025 20:58,14.9 ms
11/3/2025 20:58,29.9 ms
11/3/2025 20:58,14.7 ms
11/3/2025 20:58,12.6 ms
11/3/2025 20:58,37.5 ms
11/3/2025 20:58,37.5 ms
11/3/2025 20:58,14.7 ms
11/3/2025 20:59,15.7 ms
11/3/2025 20:59,17.3 ms
11/3/2025 20:59,13.6 ms
11/3/2025 20:59,13.9 ms
11/3/2025 20:59,13.6 ms
11/3/2025 20:59,13.6 ms
11/3/2025 20:59,23.6 ms
11/3/2025 20:59,31.2 ms
11/3/2025 20:59,12.6 ms
11/3/2025 20:59,14.7 ms
11/3/2025 20:59,13.6 ms
11/3/2025 20:59,21.5 ms
11/3/2025 21:00,13.6 ms
11/3/2025 21:00,13.6 ms
11/3/2025 21:00,25.7 ms
11/3/2025 21:00,35.1 ms
11/3/2025 21:00,13.6 ms
